Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2001","2001","t","241376650","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2002","2002","t","227766880","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2003","2003","t","256229020","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2004","2004","t","299875570","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2005","2005","t","282262550","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2006","2006","t","267502850","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2007","2007","t","331177280","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2008","2008","t","305911450","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2009","2009","t","331921050","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2010","2010","t","315617920","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2011","2011","t","312788890","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2012","2012","t","273192400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2013","2013","t","351271870","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2014","2014","t","361091140","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2015","2015","t","345486340","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2016","2016","t","412262180","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2017","2017","t","371096030","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2018","2018","t","364262150","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2019","2019","t","345962110","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2020","2020","t","358447310","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2021","2021","t","381469380","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2022","2022","t","346739460","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0112","Maize (corn)","2023","2023","t","389694460","A","Official figure",""
